Epoch,Batch_size,hidden1,Activation1,hidden2,Activation2,hidden3,Activation3,hidden4,Activation4,hidden5,Activation5,train_acc,train_loss,valid_acc,valid_loss
30,64,50,relu,50,relu,51,softmax,0,0,0,0,0.3738357843137255,2.6430564412883686,0.6299019607843137,1.5454347278557572
2,64,50,relu,50,relu,51,softmax,0,0,0,0,0.3715686274509804,2.7383170095144536,0.6306372546682171,1.5690016956890331
2,64,50,relu,50,relu,51,softmax,0,0,0,0,0.3715686274509804,2.7383170095144536,0.6306372546682171,1.5690016956890331
